undefined,16-11-2017,13:27:33,-56
,undefined,16-11-2017,13:27:34,-59
,undefined,16-11-2017,13:27:36,-86
,undefined,16-11-2017,13:27:37,-70
,undefined,16-11-2017,13:27:39,-61
undefined,16-11-2017,13:27:41,-61
,undefined,16-11-2017,13:27:43,-69
,undefined,16-11-2017,13:27:44,-68
,undefined,16-11-2017,13:27:45,-59
,undefined,16-11-2017,13:27:46,-76
undefined,16-11-2017,13:28:13,-59
,undefined,16-11-2017,13:28:15,-54
,undefined,16-11-2017,13:28:17,-60
,undefined,16-11-2017,13:28:18,-82
,undefined,16-11-2017,13:28:19,-77
undefined,16-11-2017,13:28:23,-83
,undefined,16-11-2017,13:28:25,-75
,undefined,16-11-2017,13:28:26,-68
,undefined,16-11-2017,13:28:28,-75
,undefined,16-11-2017,13:28:30,-81
undefined,16-11-2017,13:28:33,-74
,undefined,16-11-2017,13:28:35,-71
,undefined,16-11-2017,13:28:36,-72
,undefined,16-11-2017,13:28:45,-94
,undefined,16-11-2017,13:28:57,-77
undefined,16-11-2017,13:29:0,-90
,undefined,16-11-2017,13:29:1,-74
,undefined,16-11-2017,13:29:4,-65
,undefined,16-11-2017,13:29:10,-38
,undefined,16-11-2017,13:29:11,-38
undefined,16-11-2017,13:29:12,-39
,undefined,16-11-2017,13:29:13,-36
,undefined,16-11-2017,13:29:14,-53
,undefined,16-11-2017,13:29:15,-38
,undefined,16-11-2017,13:29:17,-38
undefined,16-11-2017,13:29:18,-39
,undefined,16-11-2017,13:29:19,-38
,undefined,16-11-2017,13:29:20,-38
,undefined,16-11-2017,13:29:21,-52
,undefined,16-11-2017,13:29:22,-38
undefined,16-11-2017,13:29:24,-38
,undefined,16-11-2017,13:29:25,-53
,undefined,16-11-2017,13:29:27,-36
,undefined,16-11-2017,13:29:28,-53
,undefined,16-11-2017,13:29:30,-86
undefined,16-11-2017,13:29:31,-61
,undefined,16-11-2017,13:29:32,-67
,undefined,16-11-2017,13:29:33,-67
,undefined,16-11-2017,13:29:35,-61
,undefined,16-11-2017,13:29:36,-67
undefined,16-11-2017,13:29:38,-61
,undefined,16-11-2017,13:29:39,-67
,undefined,16-11-2017,13:29:40,-76
,undefined,16-11-2017,13:29:41,-63
,undefined,16-11-2017,13:29:42,-69
undefined,16-11-2017,13:29:44,-61
,undefined,16-11-2017,13:29:47,-76
,undefined,16-11-2017,13:29:48,-75
,undefined,16-11-2017,13:29:49,-60
,undefined,16-11-2017,13:29:50,-62
undefined,16-11-2017,13:29:51,-69
,undefined,16-11-2017,13:29:54,-69
,undefined,16-11-2017,13:29:57,-69
,undefined,16-11-2017,13:29:58,-75
,undefined,16-11-2017,13:29:59,-77
undefined,16-11-2017,13:30:0,-76
,undefined,16-11-2017,13:30:2,-62
,undefined,16-11-2017,13:30:5,-69
,undefined,16-11-2017,13:30:7,-62
,undefined,16-11-2017,13:30:8,-67
